################################################################################
# $Header$
#
# This file was automatically generated (badly!) from the 'gismu' file
# at ftp://xiron.pc.helsinki.fi/pub/lojban/wordlists.  Uncommenting
# the entries and filling them in is work in progress.  Note that
# quite a lot of the gismu have come out with the wrong numbers of
# places, this has to be manually fixed.
#
# x1 utters verbally/says/phonates/speaks [vocally makes sound] x2                                
bacru1:A;utter
#linsi1:DSAP;
#linsi2:DSAP;
#linsi3:DSAP;
#
# x1 is light in mass/weight by standard x2                                                       
#linto1:DSAP;
#linto2:DSAP;
#
# x1 is a story/tale/yarn/narrative about plot/subject/moral x2 by storyteller x3 to audience x4  
#lisri1:DSAP;
#lisri2:DSAP;
#lisri3:DSAP;
#lisri4:DSAP;
#
# x1 (physical object) is a list/catalog/register of sequence/set x2 in order x3 in medium x4     
#liste1:DSAP;
#liste2:DSAP;
#liste3:DSAP;
#liste4:DSAP;
#
# x1 is x2 liter(s) [metric unit] in volume (default is 1) by standard x3                         
#litce1:DSAP;
#litce2:DSAP;
#litce3:DSAP;
#
# x1 is liquid/fluid, of composition/material including x2, under conditions x3                   
#litki1:DSAP;
#litki2:DSAP;
#litki3:DSAP;
#
# x1 travels/journeys/goes/moves via route x2 using means/vehicle x3; x1 is a traveller           
#litru1:DSAP;
#litru2:DSAP;
#
# x1 is a/the liver [body-part] of x2                                                             
#livga1:DSAP;
#livga2:DSAP;
#
# x1 is a fuel/energy-source for powering x2                                                      
#livla1:DSAP;
#livla2:DSAP;
#
# x1 [rules/methods] is a logic for deducing/concluding/inferring/reasoning to/about x2 (du'u)    
#logji1:DSAP;
#logji2:DSAP;
#
# x1 reflects [Loglandic]/Lojbanic language/culture/nationality/community in aspect x2            
#lojbo1:DSAP;
#lojbo2:DSAP;
#
# x1 is a floor/bottom/ground of x2                                                               
#loldi1:DSAP;
#loldi2:DSAP;
#
# x1 is a fox [bushy-tailed wild dog/canine] of species/breed x2                                  
#lorxu1:DSAP;
#lorxu2:DSAP;
#
# x1 reflects Lebanese culture/nationality in aspect x2                                           
#lubno1:DSAP;
#lubno2:DSAP;
#
# x1 (text) is a compound predicate word with meaning x2 and arguments x3 built from metaphor x4  
#lujvo1:DSAP;
#lujvo2:DSAP;
#lujvo3:DSAP;
#lujvo4:DSAP;
#
# x1 (agent) washes/cleanses x2 of soil/contaminant x3 in/with cleaning material(s) x4            
#lumci1:DSAP;
#lumci2:DSAP;
#lumci3:DSAP;
#lumci4:DSAP;
#
# x1 is bare/naked/nude; x1 is without cover/clothes/[protection]                                 
#lunbe1:DSAP;
#
# x1 is Earth's moon (default); x1 is a major natural satellite/moon of planet x2                 
lunra1:D;moon
lunra2:D;planet* with moon
#
# x1 condenses/liquefies on/into x2 at temperature x3, pressure x4; x1 is dew/condensate on x2    
#lunsa1:DSAP;
#lunsa2:DSAP;
#
# x1 is a derogative connotation/sense of x2 used by x3; x3 derogates/'curses at' x2 in form x1   
#mabla1:DSAP;
#mabla2:DSAP;
#mabla3:DSAP;
#
# x1 is a mammal/'animal'/beast of species x2                                                     
#mabru1:DSAP;
#mabru2:DSAP;
#
# x1 (event/action/process) is manual [not automatic] in function x2 under conditions x3          
#macnu1:DSAP;
#macnu2:DSAP;
#macnu3:DSAP;
#
# x1 is mature/ripe/fully-grown/adult in development-quality x2 (ka)                              
#makcu1:DSAP;
#makcu2:DSAP;
#
# x1 is magic/supernatural/sorcery/witchcraft/wizardry to x2, performed by person/force/deity x3  
#makfa1:DSAP;
#makfa2:DSAP;
#makfa3:DSAP;
#
# x1 is magnetic [adjective] producing magnetic field x2                                          
#maksi1:DSAP;
#maksi2:DSAP;
#
# x1 is a temple/church/sanctuary/synagogue/shrine of religion x2 at location/serving area x3     
#malsi1:DSAP;
#malsi2:DSAP;
#malsi3:DSAP;
#
# x1 is a mother of x2; x1 bears/mothers/acts maternally toward x2; [not necessarily biological]  
mamta1:D;mother
mamta2:P;having mother
#
# x1 feels wonder/awe/marvels about x2                                                            
#manci1:DSAP;
#manci2:DSAP;
#
# x1 (object/event) is uniform/homogeneous in property x2 (ka)                                    
#manfo1:DSAP;
#manfo2:DSAP;
#
# x1 is dark/lacking in illumination                                                              
#manku1:DSAP;
#manku2:DSAP;
#
# x1 is a frame of reference/standard for observing/measuring/determining x2, with/by rules x3    
#manri1:DSAP;
#manri2:DSAP;
#manri3:DSAP;
#
# x1 satisfies evaluator x2 in property (ka)/state x3                                             
#mansa1:DSAP;
#mansa2:DSAP;
#mansa3:DSAP;
#
# x1 is an ant of species/breed x2                                                                
#manti1:DSAP;
#manti2:DSAP;
#
# x1 is a cap/hat/crown/helmet/piece of headgear [head-top garment] of material x2                
#mapku1:DSAP;
#mapku2:DSAP;
#
# x1 is a quantity of/contains/is made of cotton [type of fabric/material]                        
#mapni1:DSAP;
#mapni2:DSAP;
#
# x1 fits/matches/suits/is compatible/appropriate/corresponds to/with x2 in property/aspect x3    
#mapti1:DSAP;
#mapti2:DSAP;
#mapti3:DSAP;
#
# x1 is a shelter/haven/refuge/retreat/harbor for/protecting x2 from danger/threat x3             
#marbi1:DSAP;
#marbi2:DSAP;
#marbi3:DSAP;
#
# x1 is a vehicle/mode of transport carrying x2 in/on surface/medium x3, propelled by x4          
#marce1:DSAP;
#marce2:DSAP;
#marce3:DSAP;
#marce4:DSAP;
#
# x1 are the ethics/morals/moral standards/ethical standards of x2 (ind./mass) about situation x3 
#marde1:DSAP;
#marde2:DSAP;
#marde3:DSAP;
#
# x1 is a quantity of/contains/made of mercury/quicksilver; [metaphor: fluid metal; temperature]  
#margu1:DSAP;
#margu2:DSAP;
#margu3:DSAP;
#
# x1 is material/stuff/matter of type/composition including x2 in shape/form x3                   
#marji1:DSAP;
#marji2:DSAP;
#marji3:DSAP;
#
# x1 is a quantity of hemp/marijuana/jute of species/strain x2                                    
#marna1:DSAP;
#marna2:DSAP;
#
# x1 [force] mashes/crushes/squashes/smashes x2 into pulp/mash/crumbs/deformed mass x3            
#marxa1:DSAP;
#marxa2:DSAP;
#marxa3:DSAP;
#
# x1 is slow/sluggish at doing/being/bringing about x2 (event/state)                              
#masno1:DSAP;
#masno2:DSAP;
#
# x1 is x2 months in duration (default is 1 month) by month standard x3                           
#masti1:DSAP;
#masti2:DSAP;
#masti3:DSAP;
#
# x1 is a mat/pad/mattress/pallet [flat, soft, dense form] of material x2                         
#matci1:DSAP;
#matci2:DSAP;
#
# x1 is a quantity of/contains/is made of linen/flax [type of fabric/material]                    
#matli1:DSAP;
#matli2:DSAP;
#
# x1 is a quantity of/contains butter/oleo/margarine/shortening from source x2                    
#matne1:DSAP;
#matne2:DSAP;
#
# x1 is a motor/engine, driving/propelling/providing power to x2                                  
#matra1:DSAP;
#matra2:DSAP;
#
# x1 is a quantity of oats [grain] of species/strain x2                                           
#mavji1:DSAP;
#mavji2:DSAP;
#
# x1 is a quantity of wheat [grain] of species/strain x2                                          
#maxri1:DSAP;
#maxri2:DSAP;
#
# x1 is a/the brow/forehead [projecting flat/smooth head/body-part] of x2                         
#mebri1:DSAP;
#mebri2:DSAP;
#
# x1 is a million [1x10**6] of x2 in dimension/aspect x3 (default is units)                       
#megdo1:DSAP;
#megdo2:DSAP;
#megdo3:DSAP;
#
# x1 [quantifier/expression] is a mathematical expression interpreted under rules/convention x2   
#mekso1:DSAP;
#mekso2:DSAP;
#
# x1 is beautiful/pleasant to x2 in aspect x3 (ka) by aesthetic standard x4                       
melbi1:P;beautiful
melbi2:D;observer* of beauty
melbi3:D;aspect* of beauty
melbi4:S;standard of beauty
#
# x1 reflects Malaysian/Malay culture/nationality/language in aspect x2                           
#meljo1:DSAP;
#meljo2:DSAP;
#
# x1 is a mind/intellect/psyche/mentality/[consciousness] of body x2                              
#menli1:DSAP;
#menli2:DSAP;
#
# x1 is a sister of/sororal to x2 by bond/tie/standard/parent(s) x3; [not necessarily biological] 
mensi1:D;sister
mensi2:P;having sister
#
# x1 is x2 minutes in duration (default is 1 minute) by standard x3                               
#mentu1:DSAP;
#mentu2:DSAP;
#mentu3:DSAP;
#
# x1 pertains to USA/American culture/nationality/dialect in aspect x2                            
#merko1:DSAP;
#merko2:DSAP;
#
# x1 (agent) measures/evaluates x2 [quantity] as x3 units on scale x4 (si'o), with accuracy x5    
#merli1:DSAP;
#merli2:DSAP;
#merli3:DSAP;
#merli4:DSAP;
#merli5:DSAP;
#
# x1 reflects Mexican culture/nationality in aspect x2                                            
#mexno1:DSAP;
#mexno2:DSAP;
#
# x1 is in/at the middle/center/midpoint/[is a focus] of x2; (adjective:) x1 is central           
#midju1:DSAP;
#
# x1 is encoded/cipher text of plain-text x2 by code/coding system x3; x1 is in code; x3 is a code
#mifra1:DSAP;
#mifra2:DSAP;
#mifra3:DSAP;
#
# x1 doctors/treats/nurses/[cures]/is physician/midwife to x2 for ailment x3 by treatment/cure x4 
#mikce1:DSAP;
#mikce2:DSAP;
#mikce3:DSAP;
#mikce4:DSAP;
#
# x1 is a millionth [1x10**-6] of x2 in dimension/aspect x3 (default is units)                    
#mikri1:DSAP;
#mikri2:DSAP;
#mikri3:DSAP;
#
# x1 is a thousandth [1/1000; 1x10**-3] of x2 in dimension/aspect x3 (default is units)           
#milti1:DSAP;
#milti2:DSAP;
#milti3:DSAP;
#
# x1 is mild/non-extreme/gentle/middling/somewhat in property x2 (ka); x1 is not very x2          
#milxe1:DSAP;
#milxe2:DSAP;
#
# x1 issues commands/orders to x2 for result x3 (event/state) to happen; x3 is commanded to occur 
#minde1:DSAP;
#minde2:DSAP;
#minde3:DSAP;
#
# x1 is a machine for use/function x2; [automated apparatus, without direct function control]     
#minji1:DSAP;
#minji2:DSAP;
#minji3:DSAP;
#
# x1 is x2 (default 1) long local distance unit(s) [non-metric], x3 subunits, standard x4         
#minli1:DSAP;
#minli2:DSAP;
#minli3:DSAP;
#minli4:DSAP;
#
# x1 reflects/mirrors/echoes x2 [object/radiation] to observer/point x3 as x4; x2 bounces on x1   
#minra1:DSAP;
#minra2:DSAP;
#minra3:DSAP;
#
# x1 is the same/identical thing as x2 by standard x3; (x1 and x2 interchangeable)                
#mintu1:DSAP;
#mintu2:DSAP;
#
# x1 keeps x2 secret/hidden from x3 by method x4; x2 is a secret; x1 hides/conceals x2            
#mipri1:DSAP;
#mipri2:DSAP;
#mipri3:DSAP;
#
# x1 is a deer/elk/moose/[hart/stag/doe] of species/breed x2                                      
#mirli1:DSAP;
#mirli2:DSAP;
#
# x1 (person/object/event) is famous/renowned/is a celebrity among community of persons x2 (mass) 
#misno1:DSAP;
#misno2:DSAP;
#
# x1 reflects Egyptian culture/nationality in aspect x2                                           
#misro1:DSAP;
#misro2:DSAP;
#
# x1 is x2 meter(s) [metric unit] in length (default 1) measured in direction x3 by standard x4   
#mitre1:DSAP;
#mitre2:DSAP;
#mitre3:DSAP;
#mitre4:DSAP;
#
# x1 (mass) is a mixture/blend/colloid/commingling with ingredients including x2                  
#mixre1:DSAP;
#mixre2:DSAP;
#
# x1 is to the side of/lateral to x2 and facing x3 from point of view/in-frame-of-reference x4    
#mlana1:DSAP;
#mlana2:DSAP;
#mlana3:DSAP;
#mlana4:DSAP;
#
# x1 is a cat/[puss/pussy/kitten] [feline animal] of species/breed x2; (adjective:) x1 is feline  
#mlatu1:DSAP;
#
# x1 is less than x2 in property/quantity x3 (ka/ni) by amount x4                                 
#mleca1:DSAP;
#mleca2:DSAP;
#mleca3:DSAP;
#mleca4:DSAP;
#
# x1 is a mold/fungus/mushrooms/truffles of species/strain x2 parasitic/growing on x3             
#mledi1:DSAP;
#mledi2:DSAP;
#mledi3:DSAP;
#
# x1 is a satellite/moon orbiting x2 with characteristics x3, orbital parameters x4               
#mluni1:DSAP;
#mluni2:DSAP;
#mluni3:DSAP;
#mluni4:DSAP;
#
# x1 is a point/instant/moment [0-dimensional shape/form] in/on/at time/place x2                  
#mokca1:DSAP;
#mokca2:DSAP;
#
# x1 is a/the mouth/oral cavity [body-part] of x2; (metaphor: entrance/intake for consumption)    
#moklu1:DSAP;
#moklu2:DSAP;
#
# x1 is a mill/foundry/industrial plant/[assembly line] performing process x2                     
#molki1:DSAP;
#molki2:DSAP;
#
# x1 is x2 mole(s) [metric unit] in substance (default is 1) by standard x3                       
#molro1:DSAP;
#molro2:DSAP;
#molro3:DSAP;
#
# x1 remembers/recalls/recollects fact(s)/memory x2 (du'u) about subject x3                       
#morji1:DSAP;
#morji2:DSAP;
#morji3:DSAP;
#
# x1 reflects Moroccan culture/nationality in aspect x2                                           
#morko1:DSAP;
#morko2:DSAP;
#
# x1 is/reflects/represents a pattern of forms/events x2 arranged according to structure x3       
#morna1:DSAP;
#morna2:DSAP;
#morna3:DSAP;
#
# x1 is dead/has ceased to be alive                                                               
morsi1:P;dead
#
# x1 is friction [force opposing motion] due to contact/rubbing between x2 and x3; (fe) x2 rubs x3
#mosra1:DSAP;
#mosra2:DSAP;
#
# x1 is a quantity of rye [grain] of species/strain x2                                            
#mraji1:DSAP;
#mraji2:DSAP;
#
# x1 mails/posts [transfer via intermediary service] x2 to x3 from x4 by carrier/network/system x5
#mrilu1:DSAP;
#mrilu2:DSAP;
#mrilu3:DSAP;
#mrilu4:DSAP;
#
# x1 [tool] is a hammer for/hammers x2 [target] consisting of weight/head x3 propelled by x4      
#mruli1:DSAP;
#mruli2:DSAP;
#mruli3:DSAP;
#mruli4:DSAP;
#
# x1 is immaterial/not physical/without material form                                             
#mucti1:DSAP;
#mucti2:DSAP;
#mucti3:DSAP;
#mucti4:DSAP;
#
# x1 is a quantity of/is made of/contains wood/lumber from tree(s) of type/species x2             
#mudri1:DSAP;
#mudri2:DSAP;
#
# x1 (action/event/state) motivates/is a motive/incentive for action/event x2, per volition of x3 
#mukti1:DSAP;
#mukti2:DSAP;
#mukti3:DSAP;
#
# x1 (event) is complete/done/finished; x1 (object) has become whole in property x2 by standard x3
mulno1:P;complete
mulno2:D;complete property
mulno3:D;standard* for completeness
#
# x1 is a universe/cosmos [complete and ordered entirety] of domain/sphere x2 defined by rules x3 
munje1:D;universe
munje2:D;domain* of universe
munje3:D;rule* for universe
#
# x1 is an example/sample/specimen/instance/case/illustration of common property(s) x2 of set x3  
#mupli1:DSAP;
#mupli2:DSAP;
#mupli3:DSAP;
#
# x1 is the [astronomical] twilight/dawn/dusk/half-light/glimmering of day x2 at location x3      
#murse1:DSAP;
#murse2:DSAP;
#murse3:DSAP;
#
# x1 is a curtain/blinds/drapes for covering/obscuring aperture x2, and made of material x3       
#murta1:DSAP;
#murta2:DSAP;
#murta3:DSAP;
#
# x1 pertains to the Islamic/Moslem/Koranic [Quranic] culture/religion/nation in aspect x2        
#muslo1:DSAP;
#muslo2:DSAP;
#
# x1 is much/extreme in property x2 (ka), towards x3 extreme/direction; x1 is, in x2, very x3     
mutce1:P;extreme
mutce2:D;extreme property
mutce3:D;extreme
#
# x1 (object) moves to destination/receiver x2 [away] from origin x3 over path/route x4           
#muvdu1:DSAP;
#muvdu2:DSAP;
#muvdu3:DSAP;
#muvdu4:DSAP;
#
# x1 is a museum for preserving [and possibly exhibiting] x2 at location x3                       
#muzga1:DSAP;
#muzga2:DSAP;
#muzga3:DSAP;
#
# x1 (event/state) is a problem to/encountered by x2 in situation/task/inquiry x3                 
#nabmi1:DSAP;
#nabmi2:DSAP;
#nabmi3:DSAP;
#
# x1 is a male/buck of species x2 evidencing masculine trait(s) x3 (ka); x1 is masculine          
#nakni1:DSAP;
#nakni2:DSAP;
#nakni3:DSAP;
#
# x1 is a/the wing [body-part] of x2; [metaphor: lateral supporting surface]                      
#nalci1:DSAP;
#nalci2:DSAP;
#nalci3:DSAP;
#
# x1 (li) is a number/quantifier/digit/value/figure (noun); refers to the value and not the symbol
#namcu1:DSAP;
#namcu2:DSAP;
#namcu3:DSAP;
#
# x1 is a quantity of/contains bread [leavened or unleavened] made from grains x2                 
#nanba1:DSAP;
#nanba2:DSAP;
#
# x1 is x2 years in duration (default is 1 year) by standard x3; (adjective:) x1 is annual        
#nanca1:DSAP;
#nanca2:DSAP;
#
# x1 is difficult/hard/challenging for x2 under conditions x3; x1 challenges (non-agentive) x2    
#nandu1:DSAP;
#nandu2:DSAP;
#
# x1 is a boy/lad [young male person] of age x2 immature by standard x3                           
#nanla1:DSAP;
#nanla2:DSAP;
#nanla3:DSAP;
#
# x1 is a man/men; x1 is a male humanoid person [not necessarily adult]                           
nanmu1:D;man
nanmu1n:man/men
#
# x1 is a billionth/thousand-millionth [1x10**-9] of x2 in dimension/aspect x3 (default is units) 
#nanvi1:DSAP;
#nanvi2:DSAP;
#nanvi3:DSAP;
#
# x1 is a nut [body-part: hard-shelled fruit] from plant/species x2 with shell x3 and kernel x4   
#narge1:DSAP;
#narge2:DSAP;
#narge3:DSAP;
#narge4:DSAP;
#
# x1 is orange [color adjective]                                                                  
#narju1:DSAP;
#narju2:DSAP;
#narju3:DSAP;
#narju4:DSAP;
#
# x1 (du'u) contradicts/denies/refutes/negates x2 (du'u) under rules/logic x3                     
#natfe1:DSAP;
#natfe2:DSAP;
#natfe3:DSAP;
#
# x1 is a nation/ethnic group of peoples x2; [people sharing a history/culture]                   
#natmi1:DSAP;
#natmi2:DSAP;
#natmi3:DSAP;
#
# x1 is a quantity of/contains/is made of inert gas of type x2 [neon/argon/radon/xenon]           
#navni1:DSAP;
#navni2:DSAP;
#
# x1 is a canal/channel to x2 from x3 with route x4                                               
#naxle1:DSAP;
#naxle2:DSAP;
#naxle3:DSAP;
#naxle4:DSAP;
#
# x1 is the nose [body-part] of x2 with nostril(s)/nasal passage(s) x3; [metaphor: protrusion]    
#nazbi1:DSAP;
#nazbi2:DSAP;
#
# x1 is energy of type x2 in form x3                                                              
#nejni1:DSAP;
#nejni2:DSAP;
#nejni3:DSAP;
#
# x1 is fond of/likes/has a taste for x2 (object/state)                                           
nelci1:A;like
nelci2:P;liked
#
# x1 is in/inside/within x2; x1 is on the inside/interior of x2 [totally within the bounds of x2] 
nenri1:P;inside
nenri2:D;container
#
# x1 logically necessitates/entails/implies action/event/state x2 under rules/logic system x3     
#nibli1:DSAP;
#nibli2:DSAP;
#nibli3:DSAP;
#
# x1 is a nighttime of day x2 at location x3; (adjective:) x1 is at night/nocturnal               
nicte1:D;night-time
nicte2:D;day* having night
nicte3:D;location* of night
#
# x1 is made of/contains/is a quantity of nickel/other metal resistant to oxidation               
#nikle1:DSAP;
#nikle2:DSAP;
#
# x1 [furniture items] furnishes x2 [location] serving purpose/function x3                        
#nilce1:DSAP;
#nilce2:DSAP;
#nilce3:DSAP;
#
# x1 is a quantity of citrus [fruit/tree, etc.] of species/strain x2                              
#nimre1:DSAP;
#nimre2:DSAP;
#
# x1 is a woman/women; x1 is a female humanoid person [not necessarily adult]                     
ninmu1:D;woman/women
ninmu1n:woman/women
#
# x1 is a nerve/neuron [body-part] of x2; [metaphor: information/control network connection]      
nirna1:D;nerve
nirna2:D;body* having nerve
#
# x1 needs/requires/is dependent on/[wants] necessity x2 for purpose/action/stage of process x3   
#nitcu1:DSAP;
#nitcu2:DSAP;
#nitcu3:DSAP;
#
# x1 (agent) knits x2 [cloth/object] from yarn/thread x3                                          
#nivji1:DSAP;
#nivji2:DSAP;
#nivji3:DSAP;
#
# x1 is a girl [young female person] of age x2 immature by standard x3                            
#nixli1:DSAP;
#nixli2:DSAP;
#nixli3:DSAP;
#
# x1 is noble/aristocratic/elite/high-born/titled in/under culture/society/standard x2            
nobli1:P;noble
nobli2:S;culture defining nobility
#
# x1 is a message/notice/memorandum about subject x2 from author x3 to intended audience x4       
#notci1:DSAP;
#notci2:DSAP;
#notci3:DSAP;
#notci4:DSAP;
#
# x1 is magenta/fuchsia/purplish-red [color adjective]                                            
#nukni1:DSAP;
#nukni2:DSAP;
#nukni3:DSAP;
#nukni4:DSAP;
#
# x1 (agent) promises/commits/assures/threatens x2 (event/state) to x3 [beneficiary/victim]       
#nupre1:DSAP;
#nupre2:DSAP;
#nupre3:DSAP;
#
# x1 is a rural/rustic/pastoral area of x2; x1 is in the country                                  
#nurma1:DSAP;
#
# x1 is neutral/not taking sides/medial/not towards any extreme on scale/in dissension x2         
#nutli1:DSAP;
#nutli2:DSAP;
#
# x1 (du'u) is news/tidings/new information about subject x2 from source x3, to observer x4       
#nuzba1:DSAP;
#nuzba2:DSAP;
#nuzba3:DSAP;
#nuzba4:DSAP;
#
# x1 hopes/wishes for/desires x2 (event), expected likelihood x3 (0-1); x1 hopes that x2 happens  
pacna1:A;hope
pacna2:P;hoped for
pacna3:S;likelihood for hope
#
# x1 is a part/component/piece/portion/segment of x2 [where x2 is a whole/mass]; x2 is partly x1  
#pagbu1:DSAP;
#pagbu2:DSAP;
#
# x1 passes through/penetrates barrier/medium/portal x2 to destination side x3 from origin side x4
#pagre1:DSAP;
#pagre2:DSAP;
#pagre3:DSAP;
#
# x1 judges/referees/arbitrates/is a judge determining/deciding matter x2 (abstract)              
pajni1:A;judge
pajni2:D;judged matter
#
# x1 is evil/depraved/wicked [morally bad] by standard x2                                         
#palci1:DSAP;
#palci2:DSAP;
#
# x1 are pants/trousers/slacks/leggings [legged garment] of material x2                           
#palku1:DSAP;
#palku2:DSAP;
#
# x1 is a tray/platter/flat container [pan/sheet/griddle] of contents x2, and made of material x3 
#palne1:DSAP;
#palne2:DSAP;
#palne3:DSAP;
#
# x1 is a plate/dish/platter/saucer [flat/mildly concave food service bed] made of material x2    
#palta1:DSAP;
#palta2:DSAP;
#
# x1 is a pump/injector [tool/apparatus] pumping/inserting fluid x2 to x3 from x4 by means x5     
#pambe1:DSAP;
#pambe2:DSAP;
#pambe3:DSAP;
#pambe4:DSAP;
#pambe5:DSAP;
#
# x1 is an odor/fragrance/scent/smell emitted by x2 and detected by observer/sensor x3            
#panci1:DSAP;
#panci2:DSAP;
#panci3:DSAP;
#
# x1 (agent) punctuates x2 (expression) with symbol/word x3 with syntactic/semantic effect x4     
#pandi1:DSAP;
#pandi2:DSAP;
#pandi3:DSAP;
#pandi4:DSAP;
#
# x1 is a quantity of/contains/is made of sponge/porous material                                  
#panje1:DSAP;
#panje2:DSAP;
#panje3:DSAP;
#panje4:DSAP;
#
# x1 is a park/land reserve managed by community/polity/company x2 for purpose x3                 
#panka1:DSAP;
#panka2:DSAP;
#panka3:DSAP;
#
# x1 is a slice [thin flat portion] of x2 (mass)                                                  
#panlo1:DSAP;
#panlo2:DSAP;
#
# x1 is at peace with x2                                                                          
#panpi1:DSAP;
#panpi2:DSAP;
#
# x1 parallels x2 differing only in property x3 (ka; jo'u/fa'u term) by standard/geometry x4      
#panra1:DSAP;
#panra2:DSAP;
#panra3:DSAP;
#panra4:DSAP;
#
# x1 protests/objects to/complains about x2 (event/state) to audience x3 with action x4           
#pante1:DSAP;
#pante2:DSAP;
#pante3:DSAP;
#pante4:DSAP;
#
# x1 is a [biological] offspring/child/kid/hybrid of parent(s) x2; (adjective:) x1 is filial      
#panzi1:DSAP;
#
# x1 is a [physical] page/leaf of book/document/bound mass of pages x2                            
#papri1:DSAP;
#papri2:DSAP;
#
# x1 (me'o, fraction) is a ratio/rate of x2 (quantity) with respect to x3 (quantity), [x2:x3]     
#parbi1:DSAP;
#parbi2:DSAP;
#parbi3:DSAP;
#
# x1 is a robe/tunic/gown/cloak/dress/[coveralls] [a long/full body garment] of material x2       
#pastu1:DSAP;
#pastu2:DSAP;
#
# x1 is a father of x2; x1 begets/sires/acts paternal towards x2; [not necessarily biological]    
patfu1:D;father
patfu2:P;with father
patfu2v:having father
#
# x1 is a potato [an edible tuber] of variety/cultivar x2                                         
#patlu1:DSAP;
#patlu2:DSAP;
#
# x1 is a pot/kettle/urn/tub/sink, a deep container for contents x2, of material/properties x3    
#patxu1:DSAP;
#patxu2:DSAP;
#patxu3:DSAP;
#
# x1 is paper from source x2                                                                      
#pelji1:DSAP;
#pelji2:DSAP;
#
# x1 is yellow/golden [color adjective]                                                           
#pelxu1:DSAP;
#pelxu2:DSAP;
#
# x1 is a poem/verse about plot/theme/subject/pattern x2 by author x3 for intended audience x4    
pemci1:D;poem
pemci2:D;poem subject
pemci3:A;write* poem
pemci4:S;poem audience
#
# x1 is a pen using ink x2 applied by process x3                                                  
#penbi1:DSAP;
#penbi2:DSAP;
#penbi3:DSAP;
#
# x1 (agent) touches x2 with x3 [a locus on x1 or an instrument] at x4 [a locus on x2]            
#pencu1:DSAP;
#pencu2:DSAP;
#pencu3:DSAP;
#pencu4:DSAP;
#
# x1 is/acts as a friend of/to x2 (experiencer); x2 befriends x1                                  
#pendo1:DSAP;
#pendo2:DSAP;
#
# x1 meets/encounters x2 at/in location x3                                                        
penmi1:A;encounter
penmi2:P;encountered
penmi3:D;location* of encounter
#
# x1 thinks/considers/cogitates/reasons/is pensive about/reflects upon subject/concept x2         
pensi1:A;consider
pensi2:D;considered subject*
#
# x1 is a pear [fruit] of species/strain x2                                                       
#perli1:DSAP;
#perli2:DSAP;
#
# x1 is paste/pulp/dough/mash/mud/slurry [soft, smooth-textured, moist solid] of composition x2   
#pesxu1:DSAP;
#pesxu2:DSAP;
#
# x1 is 1x10**15 of x2 in dimension/aspect x3 (default is units)                                  
#petso1:DSAP;
#petso2:DSAP;
#petso3:DSAP;
#
# x1 is a leaf of plant x2; x1 is foliage of x2                                                   
#pezli1:DSAP;
#pezli2:DSAP;
#
# x1 is a trillionth [1x10**-12] of x2 in dimension/aspect x3 (default is units)                  
#picti1:DSAP;
#picti2:DSAP;
#picti3:DSAP;
#
# x1 is a pin/peg (needle-shaped tool) for fastening to/piercing x2, of material/properties x3    
#pijne1:DSAP;
#pijne2:DSAP;
#pijne3:DSAP;
#
# x1 begs/pleads/supplicates/entreats/implores/beseeches/prays [asks with humility] x2 for x3     
#pikci1:DSAP;
#pikci2:DSAP;
#pikci3:DSAP;
#
# x1 is a ticket entitling x2 to entitlement/privilege x3 (event/state) under conditions x4       
#pikta1:DSAP;
#pikta2:DSAP;
#pikta3:DSAP;
#pikta4:DSAP;
#
# x1 is the product/total/result of factors/multiplicands (x2 and x3) x2 multiplied by x3         
#pilji1:DSAP;
#pilji2:DSAP;
#pilji3:DSAP;
#
# x1 is a crust/rind/peel/skin/hide/outer cover of x2                                             
#pilka1:DSAP;
#pilka2:DSAP;
#
# x1 uses/employs x2 [tool, apparatus, machine, agent, acting entity, material] for purpose x3    
pilno1:A;use
pilno2:D;tool
pilno3:D;purpose
#
# x1 is a/the feather/plume(s)/plumage [body-part] of animal/species x2                           
#pimlu1:DSAP;
#pimlu2:DSAP;
#
# x1 is a/the urine/piss/pee of x2                                                                
#pinca1:DSAP;
#pinca2:DSAP;
#
# x1 is poor/indigent/impoverished/lacking in goods/possessions/property x2                       
#pindi1:DSAP;
#pindi2:DSAP;
#
# x1 is a prisoner/captive of x2, restrained/held/confined by means/force x3                      
#pinfu1:DSAP;
#pinfu2:DSAP;
#pinfu3:DSAP;
#
# x1 is a/the clitoris/penis [projecting reproductive organ; body-part] of x2                     
#pinji1:DSAP;
#pinji2:DSAP;
#
# x1 (text) is a comment/remark/observation about subject x2 expressed by x3 to audience x4       
pinka1:D;comment
pinka2:D;subject* of comment
pinka3:A;express* comment
pinka4:D;audience* for comment
#
# x1 is a pencil/crayon/stylus applying lead/marking material x2, frame/support [of material] x3  
#pinsi1:DSAP;
#pinsi2:DSAP;
#pinsi3:DSAP;
#
# x1 is flat/level/horizontal in gravity/frame of reference x2                                    
#pinta1:DSAP;
#pinta2:DSAP;
#
# x1 (agent) drinks/imbibes beverage/drink/liquid refreshment x2 from/out-of container/source x3  
#pinxe1:DSAP;
#pinxe2:DSAP;
#pinxe3:DSAP;
#
# x1 is a piano/harpsichord/synthesizer/organ; a keyboard musical instrument                      
pipno1:D;keyboard instrument
#
# x1 is a picture/illustration representing/showing x2, made by artist x3 in medium x4            
#pixra1:DSAP;
